id,nome,ch,pr
11,pré-cálculo,67,0
12,inglês-instrumental,33,0
13,introdução-à-engenharia-de-computação,33,0
14,algoritmos-e-programação,67,0
15,laboratório-de-algoritmos-e-programação,67,0
16,sistemas-digitais-i,67,0
17,medição-eletro-eletrônica,33,0
21,cálculo-i,67,11
22,estatística-aplicada-à-computação,67,0
23,leitura-e-produção-de-textos,-33,0
24,estruturas-de-dados-e-algoritmos,67,14
25,laboratório-de-estrutura-de-dados-e-algoritmos,33,15
26,sistemas-digitais-ii,67,16
27,educação-ambiental-e-sustentabilidade,33,0
31,cálculo-ii,67,-21
32,relações-humanas-no-trabalho,33,0
33,teoria-dos-grafos,67,24
34,programação-orientada-a-objetos,67,14
35,laboratório-de-programação-orientada-a-objetos,67,15
36,organização-e-arquitetura-de-computadores,67,26

41,física-clássica,67,21
42,metodologia-da-pesquisa-científica,67,0
43,teoria-da-computação,67,24
44,sistemas-operacionais,67,"24,36"
45,microprocessadores-e-microcontroladores,67,36

51,álgebra-linear-aplicada-à-computação,67,31
52,eletricidade-e-eletromagnetismo,67,31
53,redes-de-computadores,67,24
54,banco-de-dados,67,24
55,projeto-de-sistemas-digitais,67,"36,44"

61,métodos-numéricos,67,51-
62,inteligência-artificial,67,43
63,padrões-de-projetos,67,"34,35"
64,sinais-e-sistemas,67,31
65,verificação-funcional-de-sistemas-digitais,67,55

71,libras,33,0
72,análise-e-técnicas-de-algoritmos,67,24
73,análise-e-projetos-de-sistemas,67,63
74,desenho-assistido-por-computador,67,0
75,circuitos-elétro-eletrônicos,100,"52,64"

81,teste-de-software,67,"34,35,54"
82,gerência-de-projetos,67,73
83,técnicas-de-prototipagem,67,74
84,processamento-digital-de-sinais,67,"61,64"
85,sensores-e-atuadores,67,75

91,empreendedorismo-de-base-tecnológica,67,0
92,projeto-em-engenharia-de-computação-i,67,83
93,sistemas-embarcados,67,"44,45"
94,controle-e-automação-i,67,"61,75"


101,educação-em-direitos-humanos,33,0
102,educação-em-diversidade,33,0
103,projeto-em-engenharia-de-computação-ii,67,92

op01,desenvolvimento-de-sistemas-para-web,67,"54,63"
op02,teoria-da-informação-e-codificação,67,"31,-43,64"
op03,mineração-de-dados,67,"22,54,62"
op04,inteligência-de-negócio,67,0
op05,segurança-da-informação,67,"44,53"
op06,álgebra-vetorial-e-geometria-analítica,67,11
op07,cálculo-iii,67,31
op08,computação-pervasiva,67,"53,93"
op09,desenvolvimento-para-dispositivos-móveis,67,"54,63"
op10,sistemas-multiagente,67,62
op11,compiladores,67,43
op12,internet-das-coisas,67,53
op13,processamento-digital-de-imagem,67,"24,84"
op14,robótica,67,"62,94"
op15,inovação-tecnológica,67,0
op16,controle-e-automação-ii,67,94
op17,coprojeto-de-hardware-e-software,67,"45,65"
op18tópicos-especiais-em-engenharia-de-computação-i,67,0
op19,tópicos-especiais-em-engenharia-de-computação-ii,67,0



