id,nome,ch,pr
11,pre-calculo,67,0
12,ingles-instrumental,33,0
13,introducao-a-engenharia-de-computacao,33,0
14,algoritmos-e-programacao,67,0
15,laboratorio-de-algoritmos-e-programacao,67,0
16,sistemas-digitais-i,67,0
17,medicao-eletro-eletronica,33,0
21,calculo-i,67,11
22,estatistica-aplicada-a-computacao,67,0
23,leitura-e-producao-de-textos,-33,0
24,estruturas-de-dados-e-algoritmos,67,14
25,laboratorio-de-estrutura-de-dados-e-algoritmos,33,15
26,sistemas-digitais-ii,67,16
27,educacao-ambiental-e-sustentabilidade,33,0
31,calculo-ii,67,-21
32,relacoes-humanas-no-trabalho,33,0
33,teoria-dos-grafos,67,24
34,programacao-orientada-a-objetos,67,14
35,laboratorio-de-programacao-orientada-a-objetos,67,15
36,organizacao-e-arquitetura-de-computadores,67,26

41,fisica-classica,67,21
42,metodologia-da-pesquisa-cientifica,67,0
43,teoria-da-computacao,67,24
44,sistemas-operacionais,67,"24,36"
45,microprocessadores-e-microcontroladores,67,36

51,algebra-linear-aplicada-a-computacao,67,31
52,eletricidade-e-eletromagnetismo,67,31
53,redes-de-computadores,67,24
54,banco-de-dados,67,24
55,projeto-de-sistemas-digitais,67,"36,44"

61,metodos-numericos,67,51-
62,inteligencia-artificial,67,43
63,padroes-de-projetos,67,"34,35"
64,sinais-e-sistemas,67,31
65,verificacao-funcional-de-sistemas-digitais,67,55

71,libras,33,0
72,analise-e-tecnicas-de-algoritmos,67,24
73,analise-e-projetos-de-sistemas,67,63
74,desenho-assistido-por-computador,67,0
75,circuitos-eletro-eletronicos,100,"52,64"

81,teste-de-software,67,"34,35,54"
82,gerencia-de-projetos,67,73
83,tecnicas-de-prototipagem,67,74
84,processamento-digital-de-sinais,67,"61,64"
85,sensores-e-atuadores,67,75

91,empreendedorismo-de-base-tecnologica,67,0
92,projeto-em-engenharia-de-computacao-i,67,83
93,sistemas-embarcados,67,"44,45"
94,controle-e-automacao-i,67,"61,75"


101,educacao-em-direitos-humanos,33,0
102,educacao-em-diversidade,33,0
103,projeto-em-engenharia-de-computacao-ii,67,92

op01,desenvolvimento-de-sistemas-para-web,67,"54,63"
op02,teoria-da-informacao-e-codificacao,67,"31,-43,64"
op03,mineracao-de-dados,67,"22,54,62"
op04,inteligencia-de-negocio,67,0
op05,seguranca-da-informacao,67,"44,53"
op06,algebra-vetorial-e-geometria-analitica,67,11
op07,calculo-iii,67,31
op08,computacao-pervasiva,67,"53,93"
op09,desenvolvimento-para-dispositivos-moveis,67,"54,63"
op10,sistemas-multiagente,67,62
op11,compiladores,67,43
op12,internet-das-coisas,67,53
op13,processamento-digital-de-imagem,67,"24,84"
op14,robotica,67,"62,94"
op15,inovacao-tecnologica,67,0
op16,controle-e-automacao-ii,67,94
op17,coprojeto-de-hardware-e-software,67,"45,65"
op18topicos-especiais-em-engenharia-de-computacao-i,67,0
op19,topicos-especiais-em-engenharia-de-computacao-ii,67,0



