id,nome,ch,pr
11,introdução-a-telemática,33,0
12,fundamentos-de-eletricidade,67,0
13,programação-i,100,0
14,laboratório-de-sistemas-abertos,067,0
15,inglês-instrumental,33,0
16,pré-cálculo,67,0
17,língua-portuguesa,33,0
21,redes-de-computadores,67,11
22,eletrônica-para-telecomunicações,67,12
23,medição-eletroeletrônica,33,12
24,programação-ii,67,13
25,arquitetura-de-computadores,67,0
26,cálculo-diferencial-e-integral,67,16
27,educação-em-diversidade,33,0
31,tecnologias-de-redes-locais,67,21
32,estatística-aplicada-à-telemática,67,26
33,sinais-e-sistemas,67,22
34,administração-de-sistemas,67,14
35,sistemas-operacionais,67,25
36,programação-iii,67,21
37,metodologia-da-pesquisa-cientifica,33,0
42,cabeamento-estruturado,67,31
41,interconexão-de-redes,67,31
43,teoria-da-informação-e-codificação,67,32
44,sistemas-de-comunicações,67,32
45,processamento-digital-de-sinais,67,33
46,administração-de-serviços,67,21
47,educação-ambiental-e-sustentabilidade,33,0
51,redes-de-longa-distância,67,41
52,segurança-de-redes-de-computadores,67,41
53,comunicações-sem-fio,67,44
54,comunicações-ópticas,67,44
55,projeto-em-telemática,67,37
56,formação-do-empreendedor,33,0
57,optativa-i,67,0
61,projetos-de-redes-de-computadores,67,42
62,sistemas-telefônicos,67,53
63,educação-em-direitos-humanos,33,0--
64,relações-humanas-no-trabalho,33,0
65,ética,33,0
66,trabalho-de-conclusão-de-curso,––,37
67,optativa-ii,67,0
01,estágio-supervisionado*,400,37
02,análise-e-projeto-de-sistemas,67,24
03,banco-de-dados,67,13
04,computação-em-nuvem,67,0
05,governança-de-ti,67,0
06,microcontroladores-e-microprocessadores,67,25
07,tópicos-especiais-em-telemática-i,67,0
08,tópicos-especiais-em-telemática-ii,67,0
09,libras,33,0
