id,nome,ch,pr
11,introducao-a-telematica,33,0
12,fundamentos-de-eletricidade,67,0
13,programacao-i,100,0
14,laboratorio-de-sistemas-abertos,067,0
15,ingles-instrumental,33,0
16,pre-calculo,67,0
17,lingua-portuguesa,33,0
21,redes-de-computadores,67,11
22,eletronica-para-telecomunicacoes,67,12
23,medicao-eletroeletronica,33,12
24,programacao-ii,67,13
25,arquitetura-de-computadores,67,0
26,calculo-diferencial-e-integral,67,16
27,educacao-em-diversidade,33,0
31,tecnologias-de-redes-locais,67,21
32,estatistica-aplicada-a-telematica,67,26
33,sinais-e-sistemas,67,22
34,administracao-de-sistemas,67,14
35,sistemas-operacionais,67,25
36,programacao-iii,67,21
37,metodologia-da-pesquisa-cientifica,33,0
42,cabeamento-estruturado,67,31
41,interconexao-de-redes,67,31
43,teoria-da-informacao-e-codificacao,67,32
44,sistemas-de-comunicacoes,67,32
45,processamento-digital-de-sinais,67,33
46,administracao-de-servicos,67,21
47,educacao-ambiental-e-sustentabilidade,33,0
51,redes-de-longa-distancia,67,41
52,seguranca-de-redes-de-computadores,67,41
53,comunicacoes-sem-fio,67,44
54,comunicacoes-opticas,67,44
55,projeto-em-telematica,67,37
56,formacao-do-empreendedor,33,0
57,optativa-i,67,0
61,projetos-de-redes-de-computadores,67,42
62,sistemas-telefonicos,67,53
63,educacao-em-direitos-humanos,33,0--
64,relacoes-humanas-no-trabalho,33,0
65,etica,33,0
66,trabalho-de-conclusao-de-curso,--,37
67,optativa-ii,67,0
01,estagio-supervisionado*,400,37
02,analise-e-projeto-de-sistemas,67,24
03,banco-de-dados,67,13
04,computacao-em-nuvem,67,0
05,governanca-de-ti,67,0
06,microcontroladores-e-microprocessadores,67,25
07,topicos-especiais-em-telematica-i,67,0
08,topicos-especiais-em-telematica-ii,67,0
09,libras,33,0
