código,nome,carga_horaria,pre_requisito,ementa
011,introducao-a-telematica,33,0,"Estrutura e objetivos de um Curso Superior de Tecnologia. Perfil profissional e campo de atuação do Tecnólogo em Telemática. Estrutura e objetivos do curso de Tecnologia em Telemática. Regulamentação profissional. Histórico e evolução dos sistemas computacionais e da Tecnologia da Informação. Características básicas dos computadores: hardware e software. Sistemas de numeração."
012,fundamentos-de-eletricidade,67,0,"Fundamentos de eletricidade. Resistor, capacitor e indutor. Análise de circuitos de corrente contínua. Relações entre tensões e correntes alternadas nos elementos passivos. Potência e energia elétrica em corrente alternada. Medidas de tensão e corrente usando multímetro."
013,programacao-i,100,0,"Análise e resolução de problemas utilizando algoritmos. Diferenciação entre linguagem de programação e linguagem algorítmica. Operações com entrada e saída de dados. Tipos de dados, variáveis e constantes. Comando de atribuição, estruturas de decisão e repetição, operações com vetores e matrizes, manipulação de strings, subprogramas (funções), passagem de parâmetros. Criação e Leitura de Arquivos em disco. Implementação de programas usando uma linguagem de programação."
014,laboratorio-de-sistemas-abertos,067,0,"Introdução ao sistema operacional Linux. Instalação de SO Linux e Administração de Pacotes. Arquitetura do Sistema (inicialização, níveis de execução e desligamento). Comandos Básicos GNU/Linux e Unix. Permissões. Gerenciamento de Dispositivos (udev), Sistemas de Arquivos Linux e padrão FHS. Identificar e editar configurações de hardware. Interfaces do usuário e desktop. Gerenciadores de boot. Administração de contas de usuários e grupos. Gerenciamento de Processos Linux. Utilização de ambientes gráficos no Linux."
015,ingles-instrumental,33,0,"Conscientização do processo de leitura. Reconhecimento e familiarização com gêneros textuais da esfera acadêmica e profissional. Estratégias de leitura. Processos de Inferência. Uso do dicionário. Grupo nominal. Referência. Grupos verbais e estrutura da sentença. Marcadores do Discurso." 
016,pre-calculo,67,0,"Conjuntos Numéricos. Funções. Gráficos de Funções."
017,lingua-portuguesa,33,0,"Língua falada e escrita. Níveis de linguagem. Habilidades básicas de leitura e produção de texto. Habilidades básicas de produção textual. Gêneros e tipos textuais. Noções linguístico-gramaticais aplicadas ao texto."
021,redes-de-computadores,67,11,"Introdução a Redes de Computadores; Sistemas Operacionais de Redes; Camada Física; Camada de Enlace; Camada de Rede; Endereçamento IP (v4 e v6); Sub-redes e VLSM; Camada de Transporte; Camada de Aplicação; Acesso Remoto Seguro e Configuração Básica de Switches e Roteadores; Introdução ao Wireshark; Introdução ao Cisco Packet Tracer; Introdução ao GNS3; Introdução ao TCPDUMP; Ferramentas de Diagnóstico de Rede; Métricas de Desempenho de Rede." 
022,eletronica-para-telecomunicacoes,67,12,"Introdução a Dispositivos Semicondutores. Introdução a Amplificadores Operacionais. Osciladores. Osciladores Controlados por Tensão. Filtros. Circuitos de Operações com Sinais Analógicos. Circuitos Temporizadores. Circuitos Comparadores."
023,medicao-eletroeletronica,33,12,"Fundamentos de Medidas Elétricas; Geradores de Sinais; Osciloscópios Análogico e Digital; Analisador de Espectro; Instrumentos Utilizados em Telecomunicações;"
024,programacao-ii,67,13,"Tipos de dados. Recursividade. Introdução a estruturas de dados: listas, pilhas, filas e árvores. Algoritmos de pesquisa e classificação interna de dados. Introdução a classes e objetos. Testes de software."
025,arquitetura-de-computadores,67,0,"Estrutura básica de computadores. A Unidade Central de Processamento. Estruturas de barramentos. Organização da memória. Sistemas de entrada/saída. Modos de endereçamento. Conjunto de instruções. Padrões de arquiteturas. Ferramentas para simulação de arquitetura de computadores."
